OA,OB,OC,OD,OE
159.7779709471866,202.5561650505854,213.693706037403,188.0,163.41358572652396
164.20109622045769,213.92755783208483,223.75432956704995,211.23683390924037,179.20379460268134
168.8342382338369,217.26481537515457,229.38613733179255,217.18655575334307,183.87223825254318
170.65169205138284,225.07998578283232,234.19649869287116,221.27358631341428,189.61276328348785
170.57842770995398,228.0350850198276,240.01041644062033,223.27113561766106,191.84629264074925
173.67786272291585,231.0411218809327,244.60784942433878,228.70942263055102,196.57314160383152
175.31685600648902,233.2659426491574,244.10653411983876,229.42754847663784,195.77793542685038
178.10109488714548,235.49097647256042,246.82990094394967,232.36393868240398,199.46177578674065
180.06943105369106,237.36048533822978,248.81519246219673,234.3608329051593,200.92784774639875
181.23189564753773,237.36048533822978,249.92999019725505,235.35929979501554,202.03960007879644
183.43936327844142,237.36048533822978,250.05599372940455,235.30618351416098,202.4080037943164
183.8069639594757,239.23210486889087,252.16859439668534,237.35627229968034,203.90193721492693
184.6131089603336,239.58505796480713,251.44780770569466,237.25513693068902,203.54115063052976
183.21571984958058,239.370006475331,252.30140705116966,236.21176939348302,201.89601283829256
183.0027322200409,237.71621736852538,251.3105648396024,236.25621684941964,202.8324431643025
184.6131089603336,239.17566765873153,251.88290930509754,236.13555429032706,200.26232796010336
182.80043763623763,238.8053600738476,250.7448902769506,235.2126697267815,200.60907257649143
182.80043763623763,238.8053600738476,250.59928172283335,235.2126697267815,200.9601950635996
183.40392580312997,238.4386713601634,248.766959220874,234.2584043316269,199.6722314193939
182.00274723201295,236.57768280207665,248.766959220874,233.25951213187426,198.73600579663466
180.41341413542398,236.21176939348302,247.63077353188558,232.36393868240398,199.81241202688085
179.62182495454164,234.2007685726074,248.47736315407084,232.48440807933767,197.9520143873257
180.41341413542398,232.91200054956377,246.35746386095144,231.42385356743154,197.02284131541703
180.60177186284747,232.91200054956377,246.49746449000241,230.4886114323222,196.0943650388761
180.41341413542398,232.91200054956377,246.35746386095144,231.48650068632512,196.468827043885
178.21896644296868,232.91200054956377,246.22144504490262,230.5558500667463,196.84765683136794
178.83232370016333,233.8482413874434,246.0894146443524,230.62740513651016,196.30843079195554
180.41341413542398,234.2007685726074,246.35746386095144,230.5558500667463,196.84765683136794
178.6644900364927,233.49946466748057,247.08095839218367,230.7834482799839,198.01010075246163
179.44915714485816,234.6955474652214,246.82990094394967,229.87170334775874,197.0913493789111
180.23595645708434,234.6955474652214,246.9534369066363,229.96086623597503,197.0913493789111
179.28747864811976,234.3608329051593,247.70345173210646,232.04525420701884,199.21094347449892
179.62182495454164,235.30405861353094,247.8225171367606,231.04977818643323,200.124960961895
179.20100446147057,235.03404008781365,247.08095839218367,230.8679276123039,197.89138435010253
180.60177186284747,235.37629447333902,247.08095839218367,231.8641843838759,199.7223072167954
177.80044994318772,234.43762496664223,246.82990094394967,230.95670589961227,197.89138435010253
179.20100446147057,234.43762496664223,247.08095839218367,231.8641843838759,198.80643852752857
179.0111728356641,235.72229423624742,248.07257002740147,232.86047324524614,199.32385707686876
179.20100446147057,235.1361307838504,247.08095839218367,230.8679276123039,197.0913493789111
